% Model:              random_surface_grain_N_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 10:16
% Table:              N = 20, b = 1, w/ MW - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 10 b 1.1
28.720631177978312                                0.9989659887736286+9.038929641833282E-7i
31.25959000482281                                 0.9989660624609037+8.90790974303146E-7i
34.02299765678071                                 0.9989661334006109+8.722085207974916E-7i
37.03069584005145                                 0.9989662008242398+8.48788917854839E-7i
40.30428030568055                                 0.9989662641373491+8.212830403628897E-7i
43.867255910485035                                0.9989663229305611+7.904985714697434E-7i
47.745205385661315                                0.9989663769746965+7.572521812332455E-7i
51.96597302486202                                 0.9989664262044942+7.223289965736814E-7i
56.55986461065008                                 0.9989664706936566+6.86451657603265E-7i
61.55986501483514                                 0.9989665106266558+6.502597495396737E-7i
67.0018750350959                                  0.9989665462690881+6.142988342740203E-7i
72.92496916841452                                 0.998966577940934+5.790175208161176E-7i
79.37167617217558                                 0.9989666059927911+5.4477067509112E-7i
86.38828442740453                                 0.9989666307867308+5.118267743863193E-7i
94.02517429670142                                 0.9989666526814567+4.803776768806158E-7i
102.33717986325213                                0.9989666720217278+4.5054941012455206E-7i
111.38398264826206                                0.9989666891310504+4.224130426024585E-7i
121.23054013376529                                0.9989667043075756+3.959948384435447E-7i
131.94755216767086                                0.9989667178219913+3.7128542705742875E-7i
143.61196859990804                                0.9989667299168634+3.482477048174131E-7i
156.30754179458174                                0.9989667408074161+3.26823510920245E-7i
170.1254279852589                                 0.998966750682743+3.069390978581479E-7i
185.1648417912158                                 0.9989667597073446+2.885095774181841E-7i
201.53376859417352                                0.9989667680227324+2.7144251646323154E-7i
219.34973989050602                                0.9989667757492924+2.5564087166549554E-7i
238.7406771860647                                 0.9989667829876621+2.410054496197245E-7i
259.84581049292524                                0.9989667898201617+2.274370816884197E-7i
282.81667802300353                                0.9989667963123742+2.1483856481216398E-7i
307.81821425650804                                0.9989668025146311+2.0311646021709804E-7i
335.02993419772366                                0.9989668084633796+1.9218272479412004E-7i
364.64722232127525                                0.9989668141833504+1.8195613291630226E-7i
396.8827354637166                                 0.9989668196889595+1.7236338070286193E-7i
431.96792973341735                                0.9989668249868908+1.633398509652142E-7i
470.1547224022139                                 0.9989668300777369+1.5482995441151463E-7i
511.717300711461                                  0.9989668349581902+1.4678706046550933E-7i
556.9540905800136                                 0.9989668396227724+1.3917307427548863E-7i
606.1898993497584                                 0.9989668440651722+1.3195773425235212E-7i
659.7782479539546                                 0.9989668482798432+1.251176854376185E-7i
718.1039092537357                                 0.9989668522624613+1.1863545018084568E-7i
781.585670768409                                  0.9989668560108853+1.1249837320847157E-7i
