% Model:              random_surface_grain_b_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 08:14
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 50, b 1
1.999877270535287E8                               0.9990130485354709+3.179048316048017E-6i
2.1766702531534636E8                              0.9990129280528572+2.7451947507153424E-6i
2.3690920741826418E8                              0.9990128046563884+2.3531334683001675E-6i
2.5785243528842765E8                              0.9990126795537636+1.9993856367802104E-6i
2.806470846309845E8                               0.999012553721611+1.6807565820522432E-6i
3.0545682465154445E8                              0.9990124279482967+1.3943255075184966E-6i
3.3245979322709453E8                              0.999012302874981+1.1374318296557268E-6i
3.618498759642758E8                               0.9990121790302487+9.076577643881221E-7i
3.938380983288489E8                               0.9990120568616596+7.028076195374057E-7i
4.286541408420934E8                               0.9990119367603915+5.208843148604889E-7i
4.6654798822344875E8                              0.9990118190795153+3.6006464111080897E-7i
5.0779172432054037E8                              0.9990117041472681+2.1867437356364264E-7i
5.526814857144614E8                               0.9990115922723661+9.516502609148818E-8i
6.015395880274857E8                               0.9990114837468496-1.1906595012866558E-8i
6.547168402004743E8                               0.9990113788434241-1.038952871636993E-7i
7.125950633568425E8                               0.9990112778119368-1.8208024226559314E-7i
7.755898323389033E8                               0.9990111808736158-2.4767401935696495E-7i
8.441534596012994E8                               0.9990110882168812-3.0182807411280287E-7i
9.187782428863358E8                               0.999010999993627-3.4563563168407513E-7i
1.000000000000004E9                               0.9990109163166914-3.8013270327253625E-7i
