% Model:              random_surface_grain_b_var_MW_fixed_phi.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 24 2022, 09:12
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               N 50, b 1.75
4.454812518844989                                 0.9989870125843172+3.068676628988656E-7i
4.848626481239083                                 0.9989870219768641+3.3221853775019975E-7i
5.277254352483543                                 0.9989870329720184+3.593265354430642E-7i
5.7437737488265865                                0.9989870458172195+3.8822072054066233E-7i
6.251534353689718                                 0.9989870607883039+4.189025012984162E-7i
6.804181968927101                                 0.9989870781890543+4.513373142014669E-7i
7.405684692262442                                 0.9989870983490787+4.854451024465337E-7i
8.060361408861345                                 0.9989871216192882+5.210897332512298E-7i
8.772912801613366                                 0.9989871483643078+5.580678850442461E-7i
9.548455102782302                                 0.9989871789516419+5.960979899121754E-7i
10.39255682936713                                 0.9989872137361488+6.348103117708221E-7i
11.311278765939225                                0.9989872530402633+6.737396591805048E-7i
12.311217482038908                                0.9989872971299217+7.123223408279981E-7i
13.399552696593398                                0.9989873461866515+7.498995414121189E-7i
14.584098829439863                                0.9989874002777881+7.857289467580695E-7i
15.873361110102103                                0.9989874593277628+8.190062285531653E-7i
17.276596646690383                                0.9989875230931187+8.488970766138509E-7i
18.803880893409165                                0.9989875911463983+8.74578871150964E-7i
20.46617999391992                                 0.9989876628722301+8.95289561539157E-7i
22.275429519995587                                0.9989877374792179+9.103792621356842E-7i
24.244620170823307                                0.9989878140283345+9.193588266829788E-7i
26.387891048289347                                0.9989878914772624+9.219389150417199E-7i
28.720631177978312                                0.9989879687361178+9.180541053373829E-7i
31.25959000482281                                 0.9989880447290164+9.078682444504429E-7i
34.02299765678071                                 0.9989881184535486+8.917602551686158E-7i
37.03069584005145                                 0.9989881890323327+8.702926253957712E-7i
40.30428030568055                                 0.9989882557499322+8.441672427456456E-7i
43.867255910485035                                0.9989883180739799+8.141746983382004E-7i
47.745205385661315                                0.9989883756595819+7.811433862962082E-7i
51.96597302486202                                 0.9989884283391763+7.458934627839878E-7i
56.55986461065008                                 0.9989884761019874+7.091994737690711E-7i
61.55986501483514                                 0.9989885190668574+6.717631984305721E-7i
67.0018750350959                                  0.998988557452737+6.341968645778215E-7i
72.92496916841452                                 0.9989885915495194+5.970155375830158E-7i
79.37167617217558                                 0.9989886216917911+5.606369906627806E-7i
86.38828442740453                                 0.9989886482366896+5.25386924815215E-7i
94.02517429670142                                 0.9989886715462492+4.91507696153938E-7i
102.33717986325213                                0.9989886919740875+4.5916886140371263E-7i
111.38398264826206                                0.9989887098561616+4.2847838947360054E-7i
121.23054013376529                                0.9989887255049332+3.9949354106353226E-7i
131.94755216767086                                0.9989887392057045+3.7223095324061666E-7i
143.61196859990804                                0.9989887512157348+3.4667557925831036E-7i
156.30754179458174                                0.9989887617640497+3.2278837547991196E-7i
170.1254279852589                                 0.998988771052849+3.0051274441361994E-7i
185.1648417912158                                 0.9989887792589405+2.797798192674373E-7i
201.53376859417352                                0.9989887865360231+2.605127241566023E-7i
219.34973989050602                                0.9989887930167481+2.426299456146316E-7i
238.7406771860647                                 0.9989887988150092+2.260479572344659E-7i
